Xidx,Yidx,PW,Vdd,Pass
10,10,10.0,0.725,1
11,10,11.0,0.725,1
12,10,12.0,0.725,1
13,10,13.0,0.725,1
14,10,14.0,0.725,1
15,10,15.0,0.725,1
16,10,16.0,0.725,1
17,10,17.0,0.725,1
18,10,18.0,0.725,1
19,10,19.0,0.725,1
20,10,20.0,0.725,1
21,10,21.0,0.725,1
1,11,1.0,0.75,0
2,11,2.0,0.75,0
3,11,3.0,0.75,0
4,11,4.0,0.75,0
5,11,5.0,0.75,0
6,11,6.0,0.75,0
7,11,7.0,0.75,1
8,11,8.0,0.75,1
9,11,9.0,0.75,1
10,11,10.0,0.75,1
11,11,11.0,0.75,1
12,11,12.0,0.75,1
13,11,13.0,0.75,1
14,11,14.0,0.75,1
15,11,15.0,0.75,1
16,11,16.0,0.75,1
17,11,17.0,0.75,1
18,11,18.0,0.75,1
19,11,19.0,0.75,1
20,11,20.0,0.75,1
21,11,21.0,0.75,1
1,12,1.0,0.775,0
2,12,2.0,0.775,0
3,12,3.0,0.775,0
4,12,4.0,0.775,0
5,12,5.0,0.775,0
6,12,6.0,0.775,0
7,12,7.0,0.775,1
8,12,8.0,0.775,1
9,12,9.0,0.775,1
10,12,10.0,0.775,1
11,12,11.0,0.775,1
12,12,12.0,0.775,1
13,12,13.0,0.775,1
14,12,14.0,0.775,1
15,12,15.0,0.775,1
16,12,16.0,0.775,1
17,12,17.0,0.775,1
18,12,18.0,0.775,1
19,12,19.0,0.775,1
20,12,20.0,0.775,1
21,12,21.0,0.775,1
1,13,1.0,0.8,0
2,13,2.0,0.8,0
3,13,3.0,0.8,0
4,13,4.0,0.8,0
5,13,5.0,0.8,0
6,13,6.0,0.8,0
7,13,7.0,0.8,1
8,13,8.0,0.8,1
9,13,9.0,0.8,1
10,13,10.0,0.8,1
11,13,11.0,0.8,1
12,13,12.0,0.8,1
13,13,13.0,0.8,1
14,13,14.0,0.8,1
15,13,15.0,0.8,1
16,13,16.0,0.8,1
17,13,17.0,0.8,1
18,13,18.0,0.8,1
19,13,19.0,0.8,1
20,13,20.0,0.8,1
21,13,21.0,0.8,1
1,14,1.0,0.825,0
2,14,2.0,0.825,0
3,14,3.0,0.825,0
4,14,4.0,0.825,0
5,14,5.0,0.825,0
6,14,6.0,0.825,0
7,14,7.0,0.825,0
8,14,8.0,0.825,1
9,14,9.0,0.825,1
10,14,10.0,0.825,1
11,14,11.0,0.825,1
12,14,12.0,0.825,1
13,14,13.0,0.825,1
14,14,14.0,0.825,1
15,14,15.0,0.825,1
16,14,16.0,0.825,1
17,14,17.0,0.825,1
18,14,18.0,0.825,1
19,14,19.0,0.825,1
20,14,20.0,0.825,1
21,14,21.0,0.825,1
1,15,1.0,0.85,0
2,15,2.0,0.85,0
3,15,3.0,0.85,0
4,15,4.0,0.85,0
5,15,5.0,0.85,0
6,15,6.0,0.85,0
7,15,7.0,0.85,0
8,15,8.0,0.85,1
9,15,9.0,0.85,1
10,15,10.0,0.85,1
11,15,11.0,0.85,1
12,15,12.0,0.85,1
13,15,13.0,0.85,1
14,15,14.0,0.85,1
15,15,15.0,0.85,1
16,15,16.0,0.85,1
17,15,17.0,0.85,1
18,15,18.0,0.85,1
19,15,19.0,0.85,1
20,15,20.0,0.85,1
21,15,21.0,0.85,1
1,16,1.0,0.875,0
2,16,2.0,0.875,0
3,16,3.0,0.875,0
4,16,4.0,0.875,0
5,16,5.0,0.875,0
6,16,6.0,0.875,0
7,16,7.0,0.875,0
8,16,8.0,0.875,0
9,16,9.0,0.875,1
10,16,10.0,0.875,1
11,16,11.0,0.875,1
12,16,12.0,0.875,1
13,16,13.0,0.875,1
14,16,14.0,0.875,1
15,16,15.0,0.875,1
16,16,16.0,0.875,1
17,16,17.0,0.875,1
18,16,18.0,0.875,1
19,16,19.0,0.875,1
20,16,20.0,0.875,1
21,16,21.0,0.875,1
1,17,1.0,0.9,0
2,17,2.0,0.9,0
3,17,3.0,0.9,0
4,17,4.0,0.9,0
5,17,5.0,0.9,0
6,17,6.0,0.9,0
7,17,7.0,0.9,0
8,17,8.0,0.9,0
9,17,9.0,0.9,0
10,17,10.0,0.9,1
11,17,11.0,0.9,1
12,17,12.0,0.9,1
13,17,13.0,0.9,1
14,17,14.0,0.9,1
15,17,15.0,0.9,1
16,17,16.0,0.9,1
17,17,17.0,0.9,1
18,17,18.0,0.9,1
19,17,19.0,0.9,1
20,17,20.0,0.9,1
21,17,21.0,0.9,1
1,18,1.0,0.925,0
2,18,2.0,0.925,0
3,18,3.0,0.925,0
4,18,4.0,0.925,0
5,18,5.0,0.925,0
6,18,6.0,0.925,0
7,18,7.0,0.925,0
8,18,8.0,0.925,0
9,18,9.0,0.925,0
10,18,10.0,0.925,0
11,18,11.0,0.925,1
12,18,12.0,0.925,1
13,18,13.0,0.925,1
14,18,14.0,0.925,1
15,18,15.0,0.925,1
16,18,16.0,0.925,1
17,18,17.0,0.925,1
18,18,18.0,0.925,1
19,18,19.0,0.925,1
20,18,20.0,0.925,1
21,18,21.0,0.925,1
1,19,1.0,0.95,0
2,19,2.0,0.95,0
3,19,3.0,0.95,0
4,19,4.0,0.95,0
5,19,5.0,0.95,0
6,19,6.0,0.95,0
7,19,7.0,0.95,0
8,19,8.0,0.95,0
9,19,9.0,0.95,0
10,19,10.0,0.95,0
11,19,11.0,0.95,1
12,19,12.0,0.95,1
13,19,13.0,0.95,1
14,19,14.0,0.95,1
15,19,15.0,0.95,1
16,19,16.0,0.95,1
17,19,17.0,0.95,1
18,19,18.0,0.95,1
19,19,19.0,0.95,1
20,19,20.0,0.95,1
21,19,21.0,0.95,1
1,20,1.0,0.975,0
2,20,2.0,0.975,0
3,20,3.0,0.975,0
4,20,4.0,0.975,0
5,20,5.0,0.975,0
6,20,6.0,0.975,0
7,20,7.0,0.975,0
8,20,8.0,0.975,0
9,20,9.0,0.975,0
10,20,10.0,0.975,0
11,20,11.0,0.975,0
12,20,12.0,0.975,1
13,20,13.0,0.975,1
14,20,14.0,0.975,1
15,20,15.0,0.975,1
16,20,16.0,0.975,1
17,20,17.0,0.975,1
18,20,18.0,0.975,1
19,20,19.0,0.975,1
20,20,20.0,0.975,1
21,20,21.0,0.975,1
1,21,1.0,1.0,0
2,21,2.0,1.0,0
3,21,3.0,1.0,0
4,21,4.0,1.0,0
5,21,5.0,1.0,0
6,21,6.0,1.0,0
7,21,7.0,1.0,0
8,21,8.0,1.0,0
9,21,9.0,1.0,0
10,21,10.0,1.0,0
11,21,11.0,1.0,0
12,21,12.0,1.0,0
13,21,13.0,1.0,1
14,21,14.0,1.0,1
15,21,15.0,1.0,1
16,21,16.0,1.0,1
17,21,17.0,1.0,1
18,21,18.0,1.0,1
19,21,19.0,1.0,1
20,21,20.0,1.0,1
21,21,21.0,1.0,1
