Point,Output,Nominal,Pass/Fail
"Parameters: PW=3p, Vdd_main=1.005",,,
54,Vdd_col,1.005,
54,PW,3e-12,
54,Pass,0,
"Parameters: PW=3p, Vdd_main=1.01",,,
55,Vdd_col,1.01,
55,PW,3e-12,
55,Pass,0,
"Parameters: PW=3p, Vdd_main=1.015",,,
56,Vdd_col,1.015,
56,PW,3e-12,
56,Pass,0,
"Parameters: PW=3p, Vdd_main=1.02",,,
57,Vdd_col,1.02,
57,PW,3e-12,
57,Pass,0,
"Parameters: PW=3p, Vdd_main=1.025",,,
58,Vdd_col,1.025,
58,PW,3e-12,
58,Pass,0,
"Parameters: PW=3p, Vdd_main=1.03",,,
59,Vdd_col,1.03,
59,PW,3e-12,
59,Pass,0,
"Parameters: PW=3p, Vdd_main=1.035",,,
60,Vdd_col,1.035,
60,PW,3e-12,
60,Pass,0,
"Parameters: PW=3p, Vdd_main=1.04",,,
61,Vdd_col,1.04,
61,PW,3e-12,
61,Pass,0,
"Parameters: PW=3p, Vdd_main=1.045",,,
62,Vdd_col,1.045,
62,PW,3e-12,
62,Pass,0,
"Parameters: PW=3p, Vdd_main=1.05",,,
63,Vdd_col,1.05,
63,PW,3e-12,
63,Pass,0,
"Parameters: PW=4p, Vdd_main=950m",,,
64,Vdd_col,950e-3,
64,PW,4e-12,
64,Pass,0,
"Parameters: PW=4p, Vdd_main=955m",,,
65,Vdd_col,955e-3,
65,PW,4e-12,
65,Pass,0,
"Parameters: PW=4p, Vdd_main=960m",,,
66,Vdd_col,960e-3,
66,PW,4e-12,
66,Pass,0,
"Parameters: PW=4p, Vdd_main=965m",,,
67,Vdd_col,965e-3,
67,PW,4e-12,
67,Pass,0,
"Parameters: PW=4p, Vdd_main=970m",,,
68,Vdd_col,970e-3,
68,PW,4e-12,
68,Pass,0,
"Parameters: PW=4p, Vdd_main=975m",,,
69,Vdd_col,975e-3,
69,PW,4e-12,
69,Pass,0,
"Parameters: PW=4p, Vdd_main=980m",,,
70,Vdd_col,980e-3,
70,PW,4e-12,
70,Pass,0,
"Parameters: PW=4p, Vdd_main=985m",,,
71,Vdd_col,985e-3,
71,PW,4e-12,
71,Pass,0,
"Parameters: PW=4p, Vdd_main=990m",,,
72,Vdd_col,990e-3,
72,PW,4e-12,
72,Pass,0,
"Parameters: PW=4p, Vdd_main=995m",,,
73,Vdd_col,995e-3,
73,PW,4e-12,
73,Pass,0,
"Parameters: PW=4p, Vdd_main=1",,,
74,Vdd_col,1,
74,PW,4e-12,
74,Pass,0,
"Parameters: PW=4p, Vdd_main=1.005",,,
75,Vdd_col,1.005,
75,PW,4e-12,
75,Pass,0,
"Parameters: PW=4p, Vdd_main=1.01",,,
76,Vdd_col,1.01,
76,PW,4e-12,
76,Pass,0,
"Parameters: PW=4p, Vdd_main=1.015",,,
77,Vdd_col,1.015,
77,PW,4e-12,
77,Pass,0,
"Parameters: PW=4p, Vdd_main=1.02",,,
78,Vdd_col,1.02,
78,PW,4e-12,
78,Pass,0,
"Parameters: PW=4p, Vdd_main=1.025",,,
79,Vdd_col,1.025,
79,PW,4e-12,
79,Pass,0,
"Parameters: PW=4p, Vdd_main=1.03",,,
80,Vdd_col,1.03,
80,PW,4e-12,
80,Pass,0,
"Parameters: PW=4p, Vdd_main=1.035",,,
81,Vdd_col,1.035,
81,PW,4e-12,
81,Pass,0,
"Parameters: PW=4p, Vdd_main=1.04",,,
82,Vdd_col,1.04,
82,PW,4e-12,
82,Pass,0,
"Parameters: PW=4p, Vdd_main=1.045",,,
83,Vdd_col,1.045,
83,PW,4e-12,
83,Pass,0,
"Parameters: PW=4p, Vdd_main=1.05",,,
84,Vdd_col,1.05,
84,PW,4e-12,
84,Pass,0,
"Parameters: PW=5p, Vdd_main=950m",,,
85,Vdd_col,950e-3,
85,PW,5e-12,
85,Pass,0,
"Parameters: PW=5p, Vdd_main=955m",,,
86,Vdd_col,955e-3,
86,PW,5e-12,
86,Pass,0,
"Parameters: PW=5p, Vdd_main=960m",,,
87,Vdd_col,960e-3,
87,PW,5e-12,
87,Pass,0,
"Parameters: PW=5p, Vdd_main=965m",,,
88,Vdd_col,965e-3,
88,PW,5e-12,
88,Pass,0,
"Parameters: PW=5p, Vdd_main=970m",,,
89,Vdd_col,970e-3,
89,PW,5e-12,
89,Pass,0,
"Parameters: PW=5p, Vdd_main=975m",,,
90,Vdd_col,975e-3,
90,PW,5e-12,
90,Pass,0,
"Parameters: PW=5p, Vdd_main=980m",,,
91,Vdd_col,980e-3,
91,PW,5e-12,
91,Pass,0,
"Parameters: PW=5p, Vdd_main=985m",,,
92,Vdd_col,985e-3,
92,PW,5e-12,
92,Pass,0,
"Parameters: PW=5p, Vdd_main=990m",,,
93,Vdd_col,990e-3,
93,PW,5e-12,
93,Pass,0,
"Parameters: PW=5p, Vdd_main=995m",,,
94,Vdd_col,995e-3,
94,PW,5e-12,
94,Pass,0,
"Parameters: PW=5p, Vdd_main=1",,,
95,Vdd_col,1,
95,PW,5e-12,
95,Pass,0,
"Parameters: PW=5p, Vdd_main=1.005",,,
96,Vdd_col,1.005,
96,PW,5e-12,
96,Pass,0,
"Parameters: PW=5p, Vdd_main=1.01",,,
97,Vdd_col,1.01,
97,PW,5e-12,
97,Pass,0,
"Parameters: PW=5p, Vdd_main=1.015",,,
98,Vdd_col,1.015,
98,PW,5e-12,
98,Pass,0,
"Parameters: PW=5p, Vdd_main=1.02",,,
99,Vdd_col,1.02,
99,PW,5e-12,
99,Pass,0,
"Parameters: PW=5p, Vdd_main=1.025",,,
100,Vdd_col,1.025,
100,PW,5e-12,
100,Pass,0,
"Parameters: PW=5p, Vdd_main=1.03",,,
101,Vdd_col,1.03,
101,PW,5e-12,
101,Pass,0,
"Parameters: PW=5p, Vdd_main=1.035",,,
102,Vdd_col,1.035,
102,PW,5e-12,
102,Pass,0,
"Parameters: PW=5p, Vdd_main=1.04",,,
103,Vdd_col,1.04,
103,PW,5e-12,
103,Pass,0,
"Parameters: PW=5p, Vdd_main=1.045",,,
104,Vdd_col,1.045,
104,PW,5e-12,
104,Pass,0,
"Parameters: PW=5p, Vdd_main=1.05",,,
105,Vdd_col,1.05,
105,PW,5e-12,
105,Pass,0,
"Parameters: PW=6p, Vdd_main=950m",,,
106,Vdd_col,950e-3,
106,PW,6e-12,
106,Pass,0,
"Parameters: PW=6p, Vdd_main=955m",,,
107,Vdd_col,955e-3,
107,PW,6e-12,
107,Pass,0,
"Parameters: PW=6p, Vdd_main=960m",,,
108,Vdd_col,960e-3,
108,PW,6e-12,
108,Pass,0,
"Parameters: PW=6p, Vdd_main=965m",,,
109,Vdd_col,965e-3,
109,PW,6e-12,
109,Pass,0,
"Parameters: PW=6p, Vdd_main=970m",,,
110,Vdd_col,970e-3,
110,PW,6e-12,
110,Pass,0,
"Parameters: PW=6p, Vdd_main=975m",,,
111,Vdd_col,975e-3,
111,PW,6e-12,
111,Pass,0,
"Parameters: PW=6p, Vdd_main=980m",,,
112,Vdd_col,980e-3,
112,PW,6e-12,
112,Pass,0,
"Parameters: PW=6p, Vdd_main=985m",,,
113,Vdd_col,985e-3,
113,PW,6e-12,
113,Pass,0,
"Parameters: PW=6p, Vdd_main=990m",,,
114,Vdd_col,990e-3,
114,PW,6e-12,
114,Pass,0,
"Parameters: PW=6p, Vdd_main=995m",,,
115,Vdd_col,995e-3,
115,PW,6e-12,
115,Pass,0,
"Parameters: PW=6p, Vdd_main=1",,,
116,Vdd_col,1,
116,PW,6e-12,
116,Pass,0,
"Parameters: PW=6p, Vdd_main=1.005",,,
117,Vdd_col,1.005,
117,PW,6e-12,
117,Pass,0,
"Parameters: PW=6p, Vdd_main=1.01",,,
118,Vdd_col,1.01,
118,PW,6e-12,
118,Pass,0,
"Parameters: PW=6p, Vdd_main=1.015",,,
119,Vdd_col,1.015,
119,PW,6e-12,
119,Pass,0,
"Parameters: PW=6p, Vdd_main=1.02",,,
120,Vdd_col,1.02,
120,PW,6e-12,
