Xidx,Yidx,Vdd,BLB_Vdd,Pass
12,9,0.775,-0.15,1
13,9,0.8,-0.15,1
14,9,0.825,-0.15,1
15,9,0.85,-0.15,1
16,9,0.875,-0.15,1
17,9,0.9,-0.15,1
18,9,0.925,-0.15,1
19,9,0.95,-0.15,1
20,9,0.975,-0.15,1
21,9,1.0,-0.15,1
1,10,0.5,-0.1375,1
2,10,0.525,-0.1375,1
3,10,0.55,-0.1375,1
4,10,0.575,-0.1375,1
5,10,0.6,-0.1375,1
6,10,0.625,-0.1375,1
7,10,0.65,-0.1375,1
8,10,0.675,-0.1375,1
9,10,0.7,-0.1375,1
10,10,0.725,-0.1375,1
11,10,0.75,-0.1375,1
12,10,0.775,-0.1375,1
13,10,0.8,-0.1375,1
14,10,0.825,-0.1375,1
15,10,0.85,-0.1375,1
16,10,0.875,-0.1375,1
17,10,0.9,-0.1375,1
18,10,0.925,-0.1375,1
19,10,0.95,-0.1375,1
20,10,0.975,-0.1375,1
21,10,1.0,-0.1375,1
1,11,0.5,-0.125,1
2,11,0.525,-0.125,1
3,11,0.55,-0.125,1
4,11,0.575,-0.125,1
5,11,0.6,-0.125,1
6,11,0.625,-0.125,1
7,11,0.65,-0.125,1
8,11,0.675,-0.125,1
9,11,0.7,-0.125,1
10,11,0.725,-0.125,1
11,11,0.75,-0.125,1
12,11,0.775,-0.125,1
13,11,0.8,-0.125,1
14,11,0.825,-0.125,1
15,11,0.85,-0.125,1
16,11,0.875,-0.125,1
17,11,0.9,-0.125,1
18,11,0.925,-0.125,1
19,11,0.95,-0.125,1
20,11,0.975,-0.125,1
21,11,1.0,-0.125,1
1,12,0.5,-0.1125,1
2,12,0.525,-0.1125,1
3,12,0.55,-0.1125,1
4,12,0.575,-0.1125,1
5,12,0.6,-0.1125,1
6,12,0.625,-0.1125,1
7,12,0.65,-0.1125,1
8,12,0.675,-0.1125,1
9,12,0.7,-0.1125,1
10,12,0.725,-0.1125,1
11,12,0.75,-0.1125,1
12,12,0.775,-0.1125,1
13,12,0.8,-0.1125,1
14,12,0.825,-0.1125,1
15,12,0.85,-0.1125,1
16,12,0.875,-0.1125,1
17,12,0.9,-0.1125,1
18,12,0.925,-0.1125,1
19,12,0.95,-0.1125,1
20,12,0.975,-0.1125,1
21,12,1.0,-0.1125,1
1,13,0.5,-0.1,1
2,13,0.525,-0.1,1
3,13,0.55,-0.1,1
4,13,0.575,-0.1,1
5,13,0.6,-0.1,1
6,13,0.625,-0.1,1
7,13,0.65,-0.1,1
8,13,0.675,-0.1,1
9,13,0.7,-0.1,1
10,13,0.725,-0.1,1
11,13,0.75,-0.1,1
12,13,0.775,-0.1,1
13,13,0.8,-0.1,1
14,13,0.825,-0.1,1
15,13,0.85,-0.1,1
16,13,0.875,-0.1,1
17,13,0.9,-0.1,1
18,13,0.925,-0.1,1
19,13,0.95,-0.1,1
20,13,0.975,-0.1,1
