Xidx,Yidx,PW,Vdd,Pass
21,10,21.0,0.995,1
1,11,1.0,1.0,0
2,11,2.0,1.0,0
3,11,3.0,1.0,0
4,11,4.0,1.0,0
5,11,5.0,1.0,0
6,11,6.0,1.0,0
7,11,7.0,1.0,0
8,11,8.0,1.0,0
9,11,9.0,1.0,0
10,11,10.0,1.0,0
11,11,11.0,1.0,0
12,11,12.0,1.0,0
13,11,13.0,1.0,1
14,11,14.0,1.0,1
15,11,15.0,1.0,1
16,11,16.0,1.0,1
17,11,17.0,1.0,1
18,11,18.0,1.0,1
19,11,19.0,1.0,1
20,11,20.0,1.0,1
21,11,21.0,1.0,1
1,12,1.0,1.005,0
2,12,2.0,1.005,0
3,12,3.0,1.005,0
4,12,4.0,1.005,0
5,12,5.0,1.005,0
6,12,6.0,1.005,0
7,12,7.0,1.005,0
8,12,8.0,1.005,0
9,12,9.0,1.005,0
10,12,10.0,1.005,0
11,12,11.0,1.005,0
12,12,12.0,1.005,0
13,12,13.0,1.005,1
14,12,14.0,1.005,1
15,12,15.0,1.005,1
16,12,16.0,1.005,1
17,12,17.0,1.005,1
18,12,18.0,1.005,1
19,12,19.0,1.005,1
20,12,20.0,1.005,1
21,12,21.0,1.005,1
1,13,1.0,1.01,0
2,13,2.0,1.01,0
3,13,3.0,1.01,0
4,13,4.0,1.01,0
5,13,5.0,1.01,0
6,13,6.0,1.01,0
7,13,7.0,1.01,0
8,13,8.0,1.01,0
9,13,9.0,1.01,0
10,13,10.0,1.01,0
11,13,11.0,1.01,0
12,13,12.0,1.01,0
13,13,13.0,1.01,1
14,13,14.0,1.01,1
15,13,15.0,1.01,1
16,13,16.0,1.01,1
17,13,17.0,1.01,1
18,13,18.0,1.01,1
19,13,19.0,1.01,1
20,13,20.0,1.01,1
21,13,21.0,1.01,1
1,14,1.0,1.015,0
2,14,2.0,1.015,0
3,14,3.0,1.015,0
4,14,4.0,1.015,0
5,14,5.0,1.015,0
6,14,6.0,1.015,0
7,14,7.0,1.015,0
8,14,8.0,1.015,0
9,14,9.0,1.015,0
10,14,10.0,1.015,0
11,14,11.0,1.015,0
12,14,12.0,1.015,0
13,14,13.0,1.015,1
14,14,14.0,1.015,1
15,14,15.0,1.015,1
16,14,16.0,1.015,1
17,14,17.0,1.015,1
18,14,18.0,1.015,1
19,14,19.0,1.015,1
20,14,20.0,1.015,1
21,14,21.0,1.015,1
1,15,1.0,1.02,0
2,15,2.0,1.02,0
3,15,3.0,1.02,0
4,15,4.0,1.02,0
5,15,5.0,1.02,0
6,15,6.0,1.02,0
7,15,7.0,1.02,0
8,15,8.0,1.02,0
9,15,9.0,1.02,0
10,15,10.0,1.02,0
11,15,11.0,1.02,0
12,15,12.0,1.02,1
13,15,13.0,1.02,1
14,15,14.0,1.02,1
15,15,15.0,1.02,1
16,15,16.0,1.02,1
17,15,17.0,1.02,1
18,15,18.0,1.02,1
19,15,19.0,1.02,1
20,15,20.0,1.02,1
21,15,21.0,1.02,1
1,16,1.0,1.025,0
2,16,2.0,1.025,0
3,16,3.0,1.025,0
4,16,4.0,1.025,0
5,16,5.0,1.025,0
6,16,6.0,1.025,0
7,16,7.0,1.025,0
8,16,8.0,1.025,0
9,16,9.0,1.025,0
10,16,10.0,1.025,0
11,16,11.0,1.025,0
12,16,12.0,1.025,1
13,16,13.0,1.025,1
14,16,14.0,1.025,1
15,16,15.0,1.025,1
16,16,16.0,1.025,1
17,16,17.0,1.025,1
18,16,18.0,1.025,1
19,16,19.0,1.025,1
20,16,20.0,1.025,1
21,16,21.0,1.025,1
1,17,1.0,1.03,0
2,17,2.0,1.03,0
3,17,3.0,1.03,0
4,17,4.0,1.03,0
5,17,5.0,1.03,0
6,17,6.0,1.03,0
7,17,7.0,1.03,0
8,17,8.0,1.03,0
9,17,9.0,1.03,0
