Point,Output,Nominal,Pass/Fail
47,PW,3e-12,
47,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-187.5m",,,
48,BLB_Vdd,-187.5e-3,
48,PW,3e-12,
48,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-175m",,,
49,BLB_Vdd,-175e-3,
49,PW,3e-12,
49,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-162.5m",,,
50,BLB_Vdd,-162.5e-3,
50,PW,3e-12,
50,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-150m",,,
51,BLB_Vdd,-150e-3,
51,PW,3e-12,
51,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-137.5m",,,
52,BLB_Vdd,-137.5e-3,
52,PW,3e-12,
52,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-125m",,,
53,BLB_Vdd,-125e-3,
53,PW,3e-12,
53,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-112.5m",,,
54,BLB_Vdd,-112.5e-3,
54,PW,3e-12,
54,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-100m",,,
55,BLB_Vdd,-100e-3,
55,PW,3e-12,
55,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-87.5m",,,
56,BLB_Vdd,-87.5e-3,
56,PW,3e-12,
56,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-75m",,,
57,BLB_Vdd,-75e-3,
57,PW,3e-12,
57,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-62.5m",,,
58,BLB_Vdd,-62.5e-3,
58,PW,3e-12,
58,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-50m",,,
59,BLB_Vdd,-50e-3,
59,PW,3e-12,
59,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-37.5m",,,
60,BLB_Vdd,-37.5e-3,
60,PW,3e-12,
60,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-25m",,,
61,BLB_Vdd,-25e-3,
61,PW,3e-12,
61,Pass,0,
"Parameters: PW=3p, BLB_Vdd=-12.5m",,,
62,BLB_Vdd,-12.5e-3,
62,PW,3e-12,
62,Pass,0,
"Parameters: PW=3p, BLB_Vdd=79.8a",,,
63,BLB_Vdd,79.8e-18,
63,PW,3e-12,
63,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-250m",,,
64,BLB_Vdd,-250e-3,
64,PW,4e-12,
64,Pass,1,
"Parameters: PW=4p, BLB_Vdd=-237.5m",,,
65,BLB_Vdd,-237.5e-3,
65,PW,4e-12,
65,Pass,1,
"Parameters: PW=4p, BLB_Vdd=-225m",,,
66,BLB_Vdd,-225e-3,
66,PW,4e-12,
66,Pass,1,
"Parameters: PW=4p, BLB_Vdd=-212.5m",,,
67,BLB_Vdd,-212.5e-3,
67,PW,4e-12,
67,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-200m",,,
68,BLB_Vdd,-200e-3,
68,PW,4e-12,
68,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-187.5m",,,
69,BLB_Vdd,-187.5e-3,
69,PW,4e-12,
69,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-175m",,,
70,BLB_Vdd,-175e-3,
70,PW,4e-12,
70,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-162.5m",,,
71,BLB_Vdd,-162.5e-3,
71,PW,4e-12,
71,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-150m",,,
72,BLB_Vdd,-150e-3,
72,PW,4e-12,
72,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-137.5m",,,
73,BLB_Vdd,-137.5e-3,
73,PW,4e-12,
73,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-125m",,,
74,BLB_Vdd,-125e-3,
74,PW,4e-12,
74,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-112.5m",,,
75,BLB_Vdd,-112.5e-3,
75,PW,4e-12,
75,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-100m",,,
76,BLB_Vdd,-100e-3,
76,PW,4e-12,
76,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-87.5m",,,
77,BLB_Vdd,-87.5e-3,
77,PW,4e-12,
77,Pass,0,
"Parameters: PW=4p, BLB_Vdd=-75m",,,
